"ObjNAME","ObjTYPE","ObjREFERENCE","ObjREFERENCEtype"
"=1073763642/77842","SCFITT","/ASBH-1.5""-WF-031035-AK1/B03","SCBRAN"
"=1073763642/77842","SCFITT","/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN","=1073763642/77842","SCFITT"
"=1073763642/77844","SCFITT","/ASBH-1.5""-WF-031035-AK1/B04","SCBRAN"
"=1073763642/77844","SCFITT","/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN","=1073763642/77844","SCFITT"
"=1073763642/77933","SCFITT","/ASBH-1.5""-WF-031034-AK1/B02","SCBRAN"
"=1073763642/77933","SCFITT","/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN","=1073763642/77933","SCFITT"
"=1073763642/77935","SCFITT","/ASBH-1.5""-WF-031034-AK1/B03","SCBRAN"
"=1073763642/77935","SCFITT","/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN","=1073763642/77935","SCFITT"
"=1073763642/77937","SCFITT","/ASBH-1.5""-WF-031034-AK1/B04","SCBRAN"
"=1073763642/77937","SCFITT","/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN","=1073763642/77937","SCFITT"
"=1073763642/77861","SCFITT","/ASBH-1.5""-WF-031039-AK1/B01","SCBRAN"
"=1073763642/77861","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031020-AK1/B01","SCBRAN","=1073763642/77861","SCFITT"
"=1073763642/77865","SCFITT","/ASBH-1.5""-WF-031038-AK1/B01","SCBRAN"
"=1073763642/77865","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031020-AK1/B01","SCBRAN","=1073763642/77865","SCFITT"
"=1073763642/77867","SCFITT","/ASBH-1.5""-WF-031037-AK1/B01","SCBRAN"
"=1073763642/77867","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031020-AK1/B01","SCBRAN","=1073763642/77867","SCFITT"
"=1073763642/77869","SCFITT","/ASBH-1.5""-WF-031036-AK1/B01","SCBRAN"
"=1073763642/77869","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031020-AK1/B01","SCBRAN","=1073763642/77869","SCFITT"
"=1073763642/77871","SCFITT","/ASBH-1.5""-WF-031035-AK1/B01","SCBRAN"
"=1073763642/77871","SCFITT","/ASBH-3""-WF-031020-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031020-AK1/B01","SCBRAN","=1073763642/77871","SCFITT"
"=1073763642/77903","SCFITT","/ASBH-1.5""-WF-031033-AK1/B02","SCBRAN"
"=1073763642/77903","SCFITT","/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN","=1073763642/77903","SCFITT"
"=1073763642/77905","SCFITT","/ASBH-1.5""-WF-031033-AK1/B03","SCBRAN"
"=1073763642/77905","SCFITT","/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN","=1073763642/77905","SCFITT"
"=1073763642/77907","SCFITT","/ASBH-1.5""-WF-031033-AK1/B04","SCBRAN"
"=1073763642/77907","SCFITT","/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN","=1073763642/77907","SCFITT"
"=1073763642/78050","SCFITT","/ASBH-1.5""-WF-031032-AK1/B02","SCBRAN"
"=1073763642/78050","SCFITT","/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN","=1073763642/78050","SCFITT"
"=1073763642/78052","SCFITT","/ASBH-1.5""-WF-031032-AK1/B03","SCBRAN"
"=1073763642/78052","SCFITT","/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN","=1073763642/78052","SCFITT"
"=1073763642/78054","SCFITT","/ASBH-1.5""-WF-031032-AK1/B04","SCBRAN"
"=1073763642/78054","SCFITT","/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN","=1073763642/78054","SCFITT"
"=1073771834/11178","SCFITT","/ASBH-1.5""-WF-031031-AK1/B02","SCBRAN"
"=1073771834/11178","SCFITT","/ASBH-1.5""-WF-031031-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031031-AK1/B01","SCBRAN","=1073771834/11178","SCFITT"
"=1073771834/11180","SCFITT","/ASBH-1.5""-WF-031031-AK1/B03","SCBRAN"
"=1073771834/11180","SCFITT","/ASBH-1.5""-WF-031031-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031031-AK1/B01","SCBRAN","=1073771834/11180","SCFITT"
"=1073763642/77953","SCFITT","/ASBH-1.5""-WF-031030-AK1/B02","SCBRAN"
"=1073763642/77953","SCFITT","/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN","=1073763642/77953","SCFITT"
"=1073763642/77955","SCFITT","/ASBH-1.5""-WF-031030-AK1/B03","SCBRAN"
"=1073763642/77955","SCFITT","/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN","=1073763642/77955","SCFITT"
"=1073763642/77957","SCFITT","/ASBH-1.5""-WF-031030-AK1/B04","SCBRAN"
"=1073763642/77957","SCFITT","/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN","=1073763642/77957","SCFITT"
"=1073763642/77963","SCFITT","/ASBH-1.5""-WF-031029-AK1/B02","SCBRAN"
"=1073763642/77963","SCFITT","/ASBH-1.5""-WF-031029-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031029-AK1/B01","SCBRAN","=1073763642/77963","SCFITT"
"=1073763642/77965","SCFITT","/ASBH-1.5""-WF-031029-AK1/B03","SCBRAN"
"=1073763642/77965","SCFITT","/ASBH-1.5""-WF-031029-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031029-AK1/B01","SCBRAN","=1073763642/77965","SCFITT"
"=1073763642/176210","SCFITT","/ASBH-1.5""-WF-031034-AK1/B01","SCBRAN"
"=1073763642/176210","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/176210","SCFITT"
"=1073763642/176218","SCFITT","/ASBH-1.5""-WF-031029-AK1/B01","SCBRAN"
"=1073763642/176218","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/176218","SCFITT"
"=1073763642/176226","SCFITT","/ASBH-1.5""-WF-031032-AK1/B01","SCBRAN"
"=1073763642/176226","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/176226","SCFITT"
"=1073763642/77894","SCFITT","/ASBH-1.5""-WF-031030-AK1/B01","SCBRAN"
"=1073763642/77894","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/77894","SCFITT"
"=1073763642/176232","SCFITT","/ASBH-1.5""-WF-031033-AK1/B01","SCBRAN"
"=1073763642/176232","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/176232","SCFITT"
"=1073763642/176238","SCFITT","/ASBH-1.5""-WF-031023-AK1/B01","SCBRAN"
"=1073763642/176238","SCFITT","/ASBH-3""-WF-031021-AK1/B01","SCBRAN"
"/ASBH-3""-WF-031021-AK1/B01","SCBRAN","=1073763642/176238","SCFITT"
"=1073763642/78000","SCFITT","/ASBH-1.5""-WF-031028-AK1/B02","SCBRAN"
"=1073763642/78000","SCFITT","/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN","=1073763642/78000","SCFITT"
"=1073763642/78002","SCFITT","/ASBH-1.5""-WF-031028-AK1/B03","SCBRAN"
"=1073763642/78002","SCFITT","/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN","=1073763642/78002","SCFITT"
"=1073763642/78004","SCFITT","/ASBH-1.5""-WF-031028-AK1/B04","SCBRAN"
"=1073763642/78004","SCFITT","/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031028-AK1/B01","SCBRAN","=1073763642/78004","SCFITT"
"=1073763642/78010","SCFITT","/ASBH-1.5""-WF-031027-AK1/B02","SCBRAN"
"=1073763642/78010","SCFITT","/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN","=1073763642/78010","SCFITT"
"=1073763642/78012","SCFITT","/ASBH-1.5""-WF-031027-AK1/B03","SCBRAN"
"=1073763642/78012","SCFITT","/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN"
"/ASBH-1.5""-WF-031027-AK1/B01","SCBRAN","=1073763642/78012","SCFITT"
