,ObjNAME_x,ObjTYPE_x,Path,ObjREFERENCE,ObjREFERENCEtype,ObjNAME_y,ObjTYPE_y
132,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N4,"/ASBH-2""-GPS-380057-AD1/B01",SCBRAN,,
133,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N2,"/ASBH-16""-GPS-381013-AD5/B01",SCBRAN,,
134,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N6,"/ASBH-2""-GPS-384014-AD4/B01",SCBRAN,,
135,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N3,"/ASBH-6""-GPS-380901-AD4/B01",SCBRAN,,
136,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N3,"/ASBH-8""-GPS-383701-AD4/B01",SCBRAN,,
137,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N3,"/ASBH-8""-GPS-381201-AD4/B01",SCBRAN,,
138,/ASBHA-EP-3810,SCEQUI,/ASBHA-EP-3810/N3,"/ASBH-8""-GPS-381101-AD4/B01",SCBRAN,,
139,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N3,"/ASBH-4""-OCS-380601-BD1/B01",SCBRAN,,
140,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B01",SCBRAN,,
141,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N6,"/ASBH-3""-OCS-380602-BD1/B02",SCBRAN,,
142,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N4,"/ASBH-2""-OCS-380606-BD1/B01",SCBRAN,,
143,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N9,"/ASBH-2""-OCS-380603-BD1/B01",SCBRAN,,
144,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N3,"/ASBH-2""-OCS-384074-BD1/B01",SCBRAN,,
145,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B04",SCBRAN,,
146,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B05",SCBRAN,,
147,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B06",SCBRAN,,
148,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-8""-OCS-380613-BD2/B01",SCBRAN,,
149,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B08",SCBRAN,,
150,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N2,"/ASBH-10""-OCS-380604-BD2/B07",SCBRAN,,
151,/ASBHA-EP-3806,SCEQUI,/ASBHA-EP-3806/N6,"/ASBH-2""-OCS-384075-BD1/B01",SCBRAN,,
152,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N3,"/ASBH-8""-GPS-381201-AD4/B01",SCBRAN,,
153,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-20""-GPS-381204-AD5/B01",SCBRAN,,
154,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N6,"/ASBH-3""-GPS-381202-AD4/B01",SCBRAN,,
155,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N9,"/ASBH-4""-GPS-381203-AD4/B01",SCBRAN,,
156,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-20""-GPS-381204-AD5/B02",SCBRAN,,
157,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-20""-GPS-381204-AD5/B03",SCBRAN,,
158,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-20""-GPS-381204-AD5/B04",SCBRAN,,
159,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-14""-GPS-381213-AD5/B01",SCBRAN,,
160,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-20""-GPS-381204-AD5/B05",SCBRAN,,
161,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N6,"/ASBH-2""-GPS-384020-AD4/B01",SCBRAN,,
162,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N2,"/ASBH-14""-GPS-381213-AD5/B02",SCBRAN,,
163,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N3,"/ASBH-6""-GPS-380901-AD4/B01",SCBRAN,,
164,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N3,"/ASBH-8""-GPS-383701-AD4/B01",SCBRAN,,
165,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N3,"/ASBH-8""-GPS-381001-AD4/B01",SCBRAN,,
166,/ASBHA-EP-3812,SCEQUI,/ASBHA-EP-3812/N3,"/ASBH-8""-GPS-381101-AD4/B01",SCBRAN,,
167,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N1,"/ASBH-2""-CY-392176-AS1/B01",SCBRAN,,
168,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N5,"/ASBH-2""-CY-392138-AT1/B01",SCBRAN,,
169,/ASBHA-T-3910,SCEQUI,/ASBHA-T-3910/N2,"/ASBH-2""-CY-392179-AS1/B01",SCBRAN,,
