"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1140875506/35763","SCFITT","/=1140875506/42041/B01","SCBRAN"
"=1140867314/228594","SCFITT","/=1140867314/228545/B01","SCBRAN"
"=1140875506/35852","SCFITT","/=1140875506/35845/B01","SCBRAN"
"=1140891890/48501","SCFITT","/=1140875506/42041/B02","SCBRAN"
"=1140891890/48505","SCFITT","/=1140875506/42041/B02","SCBRAN"
"=1140867314/228502","SCFITT","/=1140875506/35913/B02","SCBRAN"
"=1140891890/48577","SCFITT","/=1140875506/35834/B02","SCBRAN"
"=1140867314/228580","SCFITT","/=1140867314/228549/B01","SCBRAN"
"=1140891890/48645","SCFITT","/=1140875506/35870/B01","SCBRAN"
"=1140891890/48661","SCFITT","/=1140875506/35870/B02","SCBRAN"
"=1140867314/228600","SCFITT","/=1140867314/228557/B01","SCBRAN"
"=1140891890/48633","SCFITT","=1140891890/48585","SCBRAN"
"=1140891890/48657","SCFITT","/=1140875506/35870/B02","SCBRAN"
"=1140883698/30403","SCFITT","/=1140883698/30407/B02","SCBRAN"
"=1140883698/30411","SCFITT","/=1140883698/30668/B01","SCBRAN"
"=1140883698/30454","SCFITT","/=1140883698/30450/B01","SCBRAN"
"=1140883698/30499","SCFITT","/=1140883698/30418/B01","SCBRAN"
"=1140883698/30509","SCFITT","/=1140883698/30610/B01","SCBRAN"
"=1140867314/249692","SCFITT","/=1140883698/30503/B01","SCBRAN"
"=1140867314/249698","SCFITT","/=1140883698/30503/B01","SCBRAN"
"=1140883698/30542","SCFITT","/=1140883698/30552/B01","SCBRAN"
"=1140883698/30550","SCFITT","/=1140883698/30552/B01","SCBRAN"
"=1140883698/30566","SCFITT","/=1140883698/30450/B01","SCBRAN"
"=1140883698/30568","SCFITT","/=1140883698/30562/B01","SCBRAN"
"=1140883698/30582","SCFITT","/=1140883698/30384/B01","SCBRAN"
"=1140883698/30584","SCFITT","/=1140883698/30378/B01","SCBRAN"
"=1140883698/30606","SCFITT","/=1140883698/30676/B01","SCBRAN"
"=1140883698/30638","SCFITT","/=1140883698/30418/B01","SCBRAN"
"=1140883698/30665","SCFITT","/=1140883698/30668/B01","SCBRAN"
"=1140867314/192984","SCFITT","/ASAS-ILINE-0334-0001/B03","SCBRAN"
"=1140875506/100329","SCFITT","/=1140875506/100316/B01","SCBRAN"
"=1140883698/26737","SCFITT","/=1140883698/26746/B02","SCBRAN"
"=1140883698/26744","SCFITT","/=1140883698/26746/B02","SCBRAN"
"=1140883698/26792","SCFITT","/=1140883698/26788/B02","SCBRAN"
"=1140883698/26801","SCFITT","/=1140883698/26788/B02","SCBRAN"
"=1140883698/26803","SCFITT","/=1140883698/26797/B02","SCBRAN"
"=1140883698/26817","SCFITT","/=1140883698/26910/B01","SCBRAN"
"=1140883698/26819","SCFITT","/=1140883698/26903/B01","SCBRAN"
"=1140883698/26827","SCFITT","/=1140883698/26854/B01","SCBRAN"
"=1140875506/100323","SCFITT","/=1140875506/100316/B01","SCBRAN"
"=1140883698/26850","SCFITT","/=1140883698/27013/B01","SCBRAN"
"=1140883698/26944","SCFITT","/=1140883698/26866/B03","SCBRAN"
"=1140883698/26974","SCFITT","/=1140883698/26980/B02","SCBRAN"
"=1140883698/26994","SCFITT","/=1140883698/26980/B02","SCBRAN"
"=1140883698/27009","SCFITT","/=1140883698/26988/B03","SCBRAN"
"=1140883698/26293","SCFITT","/ASBJ-ILINE-0335-0001/B02","SCBRAN"
"=1140891890/17617","SCFITT","/=1140883698/26369/B01","SCBRAN"
"=1140883698/26270","SCFITT","=1140883698/26241","SCBRAN"
"=1140883698/26659","SCFITT","/=1140883698/26652/B01","SCBRAN"
"=1140883698/26307","SCFITT","/=1140867314/175625/B02","SCBRAN"
"=1140883698/26266","SCFITT","/=1140883698/26253/B02","SCBRAN"
"=1140875506/42116","SCFITT","/=1140883698/26533/B03","SCBRAN"
"=1140875506/99002","SCFITT","/=1140883698/26533/B01","SCBRAN"
"=1140883698/26364","SCFITT","/ASBJ-ILINE-0335-0002/B02","SCBRAN"
"=1140883698/26379","SCFITT","/=1140883698/26369/B02","SCBRAN"
"=1140883698/26400","SCFITT","/=1140883698/26396/B02","SCBRAN"
"=1140883698/26417","SCFITT","/=1140883698/26369/B02","SCBRAN"
"=1140883698/26419","SCFITT","/=1140883698/26413/B02","SCBRAN"
"=1140875506/99024","SCFITT","/=1140883698/26413/B01","SCBRAN"
"=1140883698/26484","SCFITT","/ASBJ-ILINE-0335-0003/B02","SCBRAN"
"=1140883698/26520","SCFITT","/=1140883698/26516/B02","SCBRAN"
"=1140891890/17595","SCFITT","=1140875506/99014","SCBRAN"
"=1140891890/17579","SCFITT","/=1140883698/26236/B01","SCBRAN"
"=1140891890/17717","SCFITT","/=1140883698/26647/B02","SCBRAN"
"=1140883698/26537","SCFITT","/=1140875506/37741/B02","SCBRAN"
"=1140883698/26539","SCFITT","/=1140883698/26533/B02","SCBRAN"
"=1140875506/99032","SCFITT","/=1140883698/26413/B03","SCBRAN"
"=1140875506/99010","SCFITT","/=1140883698/26533/B03","SCBRAN"
"=1140875506/99020","SCFITT","=1140875506/99028","SCBRAN"
"=1140891890/17721","SCFITT","/=1140883698/26647/B02","SCBRAN"
"=1140883698/26663","SCFITT","/=1140883698/26396/B01","SCBRAN"
"=1140891890/17773","SCFITT","/=1140891890/17643/B02","SCBRAN"
"=1140891890/17751","SCFITT","/=1140891890/17651/B02","SCBRAN"
"=1140891890/17855","SCFITT","/=1140891890/17850/B01","SCBRAN"
"=1140867314/249774","SCFITT","=1140867314/249772","SCBRAN"
"=1140891890/17978","SCFITT","/=1140883698/26679/B01","SCBRAN"
"=1140891890/17996","SCFITT","/=1140891890/17850/B02","SCBRAN"
"=1140875506/100304","SCFITT","/=1140891890/17876/B02","SCBRAN"
"=1140891890/17928","SCFITT","/=1140891890/17876/B03","SCBRAN"
"=1140891890/17934","SCFITT","/=1140891890/17876/B03","SCBRAN"
"=1140867314/208669","SCFITT","/=1140867314/200621/B05","SCBRAN"
"=1140867314/208675","SCFITT","/=1140867314/200621/B02","SCBRAN"
"=1140891890/29233","SCFITT","/=1140867314/200621/B01","SCBRAN"
"=1140891890/29235","SCFITT","/=1140891890/29300/B01","SCBRAN"
"=1140867314/200637","SCFITT","/=1140867314/200666/B05","SCBRAN"
"=1140867314/200639","SCFITT","/=1140867314/200666/B04","SCBRAN"
"=1140867314/200641","SCFITT","/=1140867314/200666/B02","SCBRAN"
"=1140908274/10112","SCFITT","/=1140867314/200657/B01","SCBRAN"
"=1140875506/55462","SCFITT","/=1140891890/28743/B04","SCBRAN"
"=1140875506/55495","SCFITT","/=1140891890/28743/B02","SCBRAN"
"=1140867314/201276","SCFITT","/=1140891890/28743/B05","SCBRAN"
"=1140867314/201278","SCFITT","/=1140867314/201251/B01","SCBRAN"
"=1140891890/28808","SCFITT","/=1140891890/28776/B01","SCBRAN"
"=1140891890/28793","SCFITT","/=1140891890/28776/B03","SCBRAN"
"=1140867314/208482","SCFITT","/=1140867314/201144/B01","SCBRAN"
"=1140867314/208502","SCFITT","/=1140867314/201144/B03","SCBRAN"
"=1140867314/201160","SCFITT","/=1140867314/201319/B01","SCBRAN"
"=1140867314/208533","SCFITT","/=1140867314/201170/B01","SCBRAN"
"=1140867314/208535","SCFITT","/=1140867314/201170/B06","SCBRAN"
