Column1,ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype,,
212,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B01",SCBRAN,,"/ASBH-16""-GPS-380713-AD5/B01"
213,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N6,"/ASBH-3""-OCS-380102-BD1/B01",SCBRAN,,"/ASBH-2""-GPS-380051-AD1/B01"
214,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N9,"/ASBH-2""-OCS-380103-BD1/B01",SCBRAN,,"/ASBH-2""-GPS-384007-AD4/B01"
215,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N4,"/ASBH-2""-OCS-380106-BD1/B01",SCBRAN,,"/ASBH-3""-GPS-380702-AD4/B01"
218,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N3,"/ASBH-2""-OCS-384064-BD1/B01",SCBRAN,,"/ASBH-4""-GPS-380703-AD4/B01"
221,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B03",SCBRAN,,"/ASBH-6""-GPS-380701-AD4/B01"
223,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B04",SCBRAN,,/ASBHA-EP-3809
225,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B05",SCBRAN,,"/ASBH-10""-GPS-380913-AD5/B01"
227,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380113-BD2/B01",SCBRAN,,"/ASBH-16""-GPS-380904-AD5/B01"
229,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B06",SCBRAN,,"/ASBH-2""-GPS-380055-AD1/B01"
231,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N2,"/ASBH-10""-OCS-380104-BD2/B02",SCBRAN,,"/ASBH-2""-GPS-384010-AD4/B01"
234,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N6,"/ASBH-2""-OCS-384065-BD1/B01",SCBRAN,,"/ASBH-3""-GPS-380902-AD4/B01"
240,/ASBHA-EP-3801,SCEQUI,/ASBHA-EP-3801/N5B,"/ASBH-12""-OCS-380504-BD2/B08",SCBRAN,,"/ASBH-4""-GPS-380903-AD4/B01"
