"ObjNAME","ObjTYPE","ObjREFERENCE"
"/PFD-ASBJA-LT-411202","SCOINS","/PFD-ASBJA-V-4112"
"/PFD-ASBJA-LT-441105","SCOINS","/ASBJ-ILINE-0346-0003/B01"
"/PFD-ASBJA-LT-441105","SCOINS","/PFD-ASBJA-V-4411"
"/PFD-ASBJA-PT-441122","SCOINS","/ASBJ-ILINE-0346-0001/B16"
"/PFD-ASBJA-PT-441122","SCOINS","=1140883698/47489"
"/PFD-ASBJA-TT-441121","SCOINS","=1140867314/208051"
"/PFD-ASBJA-TT-441121","SCOINS","=1140883698/47489"
"/PFD-ASBJA-TT-441134","SCOINS","=1140867314/208100"
"/PFD-ASBJA-TT-441134","SCOINS","=1140867314/207782"
"/PFD-ASBJA-PT-801119","SCOINS","=1140867314/208098"
"/PFD-ASBJA-PT-801119","SCOINS","=1140867314/207804"
"/PFD-ASBJA-PT-441139","SCOINS","=1140867314/208103"
"/PFD-ASBJA-PT-441139","SCOINS","=1140867314/207788"
"/PFD-ASBJA-FT-411107","SCOINS","/PFD-ASBJA-FE-411107"
"/PFD-ASBJA-PT-801147","SCOINS","=1140867314/207609"
"/PFD-ASBJA-PT-801147","SCOINS","/ASBJA-SIG-S-PT-411147-1"
"/ASBJA-SIG-S-PT-411147-1","SCOINS","No refs"
"/PFD-ASBJA-PDT-411116","SCOINS","/=1140867314/207617/B03"
"/PFD-ASBJA-PDT-411116","SCOINS","/=1140867314/207617/B04"
"/PFD-ASBJA-PDT-411116","SCOINS","=1140867314/250093"
"/PFD-ASBJA-PDT-442113","SCOINS","/=1140875506/54173/B08"
"/PFD-ASBJA-PDT-442113","SCOINS","/=1140875506/54173/B09"
"/PFD-ASBJA-PDT-442113","SCOINS","/ASBJA-SIG-P-PDT-442113-1"
"/ASBJA-SIG-P-PDT-442113-1","SCOINS","No refs"
"/ASBJA-SIG-P-PT-442110-1","SCOINS","No refs"
"/PFD-ASBJA-SCP-432001","SCOINS","No refs"
"/PFD-ASBJA-PDT-432108","SCOINS","=1140875506/54282"
"/PFD-ASBJA-PDT-432108","SCOINS","=1140875506/54288"
"/PFD-ASBJA-PDT-412114","SCOINS","=1140875506/54235"
"/PFD-ASBJA-PDT-412114","SCOINS","=1140875506/54229"
"/PFD-ASBJA-TT-432132","SCOINS","/=1140875506/54923/B01"
"/PFD-ASBJA-TT-432132","SCOINS","/ASBJ-ILINE-0347-0001/B01"
"/PFD-ASBJA-PT-802112","SCOINS","/=1140875506/54875/B01"
"/PFD-ASBJA-PT-802112","SCOINS","/ASBJ-ILINE-0347-0002/B01"
"/PFD-ASBJA-TT-432120","SCOINS","/=1140875506/54825/B01"
"/PFD-ASBJA-TT-432120","SCOINS","/ASBJ-ILINE-0347-0003/B01"
"/PFD-ASBJA-PT-432121","SCOINS","/=1140875506/54814/B01"
"/PFD-ASBJA-PT-432121","SCOINS","/ASBJ-ILINE-0347-0004/B01"
"/PFD-ASBJA-PDT-432115","SCOINS","/ASBJ-ILINE-0347-0005/B01"
"/PFD-ASBJA-PDT-432115","SCOINS","/=1140875506/54800/B01"
"/PFD-ASBJA-PT-802106","SCOINS","/=1140875506/54745/B01"
"/PFD-ASBJA-PT-802106","SCOINS","/ASBJ-ILINE-0347-0006/B01"
"/PFD-ASBJA-TT-422118","SCOINS","/=1140875506/54723/B01"
"/PFD-ASBJA-TT-422118","SCOINS","/ASBJ-ILINE-0347-0007/B01"
"/PFD-ASBJA-PT-422119","SCOINS","/=1140875506/54712/B01"
"/PFD-ASBJA-PT-422119","SCOINS","/ASBJ-ILINE-0347-0008/B01"
"/PFD-ASBJA-TT-422128","SCOINS","/=1140875506/54678/B01"
"/PFD-ASBJA-TT-422128","SCOINS","/ASBJ-ILINE-0347-0009/B01"
"/PFD-ASBJA-FT-422109","SCOINS","/=1140875506/54481/B08"
"/PFD-ASBJA-FT-422109","SCOINS","/=1140875506/54173/B06"
"/PFD-ASBJA-FT-422109","SCOINS","/=1140875506/54173/B07"
"/PFD-ASBJA-PDT-422136","SCOINS","=1140875506/54332"
"/PFD-ASBJA-PDT-422136","SCOINS","=1140875506/54326"
"/PFD-ASBJA-LT-432106","SCOINS","/ASBJ-ILINE-0347-0012/B01"
"/PFD-ASBJA-LT-432106","SCOINS","/PFD-ASBJA-V-4321"
"/PFD-ASBJA-LT-422104","SCOINS","/ASBJ-ILINE-0347-0013/B01"
"/PFD-ASBJA-LT-422104","SCOINS","/PFD-ASBJA-V-4221"
"/PFD-ASBJA--408020","SCOINS","=1140875506/54450"
"/PFD-ASBJA--27G-CB","SCOINS","=1140875506/54577"
"/PFD-ASBJA-FT-432112","SCOINS","/=1140875506/54481/B15"
"/PFD-ASBJA-FT-432112","SCOINS","/PFD-ASBJA-FE-432112"
"/PFD-ASBJA-TT-432113","SCOINS","/=1140875506/54142/B03"
"/PFD-ASBJA-TT-432113","SCOINS","/=1140875506/54481/B14"
"/PFD-ASBJA-PT-432116","SCOINS","/=1140875506/54142/B02"
"/PFD-ASBJA-PT-432116","SCOINS","/=1140875506/54481/B13"
"/PFD-ASBJA-TT-432119","SCOINS","/=1140875506/54420/B02"
"/PFD-ASBJA-TT-432119","SCOINS","/=1140875506/54481/B12"
"/PFD-ASBJA-PT-432122","SCOINS","/=1140875506/54420/B03"
"/PFD-ASBJA-PT-432122","SCOINS","/=1140875506/54481/B11"
"/PFD-ASBJA-TT-422116","SCOINS","/=1140875506/54360/B03"
"/PFD-ASBJA-TT-422116","SCOINS","/=1140875506/54481/B06"
"/PFD-ASBJA-PT-422120","SCOINS","/=1140875506/54481/B07"
"/PFD-ASBJA-PT-422120","SCOINS","/=1140875506/54360/B02"
"/PFD-ASBJA-PT-422110","SCOINS","/=1140875506/54173/B02"
"/PFD-ASBJA-PT-422110","SCOINS","/ASBJA-SIG-P-PT-442110-1"
"/PFD-ASBJA-TT-422111","SCOINS","/=1140875506/54481/B09"
"/PFD-ASBJA-PT-422114","SCOINS","/=1140875506/54173/B04"
"/PFD-ASBJA-PT-422114","SCOINS","/=1140875506/54481/B10"
"/PFD-ASBJA-PT-422114","SCOINS","=1140875506/54562"
"/PFD-ASBJA-TC-432133","SCOINS","No refs"
"/PFD-ASBJA-LC-432105","SCOINS","=1140875506/54419"
"/PFD-ASBJA-LC-432105","SCOINS","/PFD-ASBJA-V-4321"
"/PFD-ASBJA-TC-422129","SCOINS","/=1140875506/54271/B02"
